timestamp,home,pts_home,away,pts_away,tv,notes
2013-09-14 20:00:00,Notre Dame,31.0,Purdue,24.0,,
2013-09-14 20:00:00,Marshall,31.0,Ohio,34.0,,
2013-09-14 19:00:00,Ohio State,52.0,California,34.0,,
2013-09-14 12:00:00,Tulsa,20.0,Oklahoma,51.0,,
2013-09-14 19:30:00,Lamar,3.0,Oklahoma State,59.0,,
2013-09-14 15:30:00,Tennessee,14.0,Oregon,59.0,,
2013-09-14 22:00:00,Oregon State,51.0,Utah,48.0,,
2013-09-14 12:30:00,New Mexico,27.0,Pittsburgh,49.0,,
2013-09-14 19:30:00,Kansas,14.0,Rice,23.0,,
2013-09-14 13:00:00,Eastern Michigan,10.0,Rutgers,28.0,,
2013-09-14 19:30:00,Western Kentucky,24.0,South Alabama,31.0,,
2013-09-14 19:00:00,Vanderbilt,25.0,South Carolina,35.0,,
2013-09-14 15:00:00,Boston College,7.0,Southern California,35.0,,
2013-09-14 12:00:00,Stanford,34.0,Army,20.0,,
2013-09-14 16:00:00,Wagner,0.0,Syracuse,54.0,,
2013-09-14 20:00:00,Texas-El Paso,42.0,New Mexico State,21.0,,
2013-09-14 19:00:00,Eastern Washington,21.0,Toledo,33.0,,
2013-09-14 12:00:00,UCLA,41.0,Nebraska,21.0,,
2013-09-14 20:00:00,Weber State,6.0,Utah State,70.0,,
2013-09-14 12:00:00,Virginia Tech,15.0,East Carolina,10.0,,
2013-09-14 18:00:00,Illinois,24.0,Washington,34.0,,"Soldier Field - Chicago, IL"
2013-09-14 18:30:00,Southern Utah,10.0,Washington State,48.0,,
2013-09-14 12:00:00,Georgia State,7.0,West Virginia,41.0,,
2013-09-14 16:00:00,Northern Colorado,7.0,Wyoming,35.0,,
2013-09-19 19:30:00,Clemson,26.0,North Carolina State,14.0,,
2013-09-20 21:00:00,Boise State,40.0,Fresno State,41.0,,
2013-09-21 19:00:00,Colorado State,6.0,Alabama,31.0,,
2013-09-21 15:00:00,Northwestern State,28.0,Alabama-Birmingham,52.0,,
2013-09-21 13:00:00,Ball State,51.0,Eastern Michigan,20.0,,
2013-09-21 16:00:00,Louisiana-Monroe,7.0,Baylor,70.0,,
2013-09-21 15:30:00,Murray State,7.0,Bowling Green State,48.0,,
2013-09-21 16:00:00,Cincinnati,14.0,Miami (OH),0.0,,
2013-09-21 15:30:00,Tennessee,17.0,Florida,31.0,,
2013-09-21 18:00:00,Bethune-Cookman,6.0,Florida State,54.0,,
2013-09-21 12:21:00,North Texas,21.0,Georgia,45.0,,
2013-09-21 12:00:00,North Carolina,20.0,Georgia Tech,28.0,,
2013-09-21 15:00:00,Rice,26.0,Houston,31.0,,"Reliant Stadium - Houston, TX"
2013-09-21 12:01:00,Western Michigan,3.0,Iowa,59.0,,
2013-09-21 14:00:00,Jacksonville State,32.0,Georgia State,26.0,,
2013-09-21 12:00:00,Louisiana Tech,10.0,Kansas,13.0,,
2013-09-21 19:45:00,Auburn,21.0,Louisiana State,35.0,,
2013-09-21 18:00:00,Louisiana-Lafayette,35.0,Akron,30.0,,
2013-09-21 12:00:00,Florida International,0.0,Louisville,72.0,,
2013-09-21 15:30:00,West Virginia,0.0,Maryland,37.0,,"M&T Bank Stadium - Baltimore, MD"
2013-09-21 16:30:00,Arkansas State,7.0,Memphis,31.0,,
2013-09-21 19:00:00,Savannah State,7.0,Miami (FL),77.0,,
2013-09-21 20:00:00,Michigan,24.0,Connecticut,21.0,,
2013-09-21 12:00:00,Middle Tennessee State,42.0,Florida Atlantic,35.0,,
2013-09-21 12:00:00,San Jose State,24.0,Minnesota,43.0,,
2013-09-21 19:30:00,Troy,7.0,Mississippi State,62.0,,
2013-09-21 20:00:00,Missouri,45.0,Indiana,28.0,,
2013-09-21 15:30:00,South Dakota State,20.0,Nebraska,59.0,,
2013-09-21 20:05:00,Hawaii,9.0,Nevada,31.0,,
2013-09-21 21:00:00,Western Illinois,7.0,Nevada-Las Vegas,38.0,,
2013-09-21 19:00:00,Eastern Illinois,39.0,Northern Illinois,43.0,,
2013-09-21 15:30:00,Maine,21.0,Northwestern,35.0,,
2013-09-21 15:30:00,Michigan State,13.0,Notre Dame,17.0,,
2013-09-21 14:00:00,Austin Peay,0.0,Ohio,38.0,,
2013-09-21 12:00:00,Florida A&M,0.0,Ohio State,76.0,,
2013-09-21 19:30:00,Oregon State,34.0,San Diego State,30.0,,
2013-09-21 15:30:00,Kent State,0.0,Penn State,34.0,,
2013-09-21 12:30:00,Pittsburgh,58.0,Duke,55.0,,
2013-09-21 15:30:00,Arkansas,24.0,Rutgers,28.0,,
2013-09-21 15:30:00,Utah State,14.0,Southern California,17.0,,
2013-09-21 19:00:00,Arizona State,28.0,Stanford,42.0,,
2013-09-21 12:30:00,Tulane,17.0,Syracuse,52.0,,
2013-09-21 20:00:00,Kansas State,21.0,Texas,31.0,,
2013-09-21 19:00:00,Southern Methodist,13.0,Texas A&M,42.0,,
2013-09-21 19:00:00,Texas State,7.0,Texas Tech,33.0,,
2013-09-21 20:00:00,Texas-San Antonio,32.0,Texas-El Paso,13.0,,
2013-09-21 12:00:00,Toledo,38.0,Central Michigan,17.0,,
2013-09-21 22:30:00,New Mexico State,13.0,UCLA,59.0,,
2013-09-21 22:15:00,Utah,20.0,Brigham Young,13.0,,
2013-09-21 12:00:00,Vanderbilt,24.0,Massachusetts,7.0,,
2013-09-21 15:30:00,Virginia Military Institute,0.0,Virginia,49.0,,
2013-09-21 12:00:00,Marshall,21.0,Virginia Tech,29.0,,
2013-09-21 12:00:00,Wake Forest,25.0,Army,11.0,,
2013-09-21 15:00:00,Idaho State,0.0,Washington,56.0,,
2013-09-21 22:30:00,Idaho,0.0,Washington State,42.0,,
2013-09-21 19:00:00,Morgan State,17.0,Western Kentucky,58.0,,
2013-09-21 15:30:00,Purdue,10.0,Wisconsin,41.0,,
2013-09-21 22:15:00,Wyoming,56.0,Air Force,23.0,,
2013-09-26 19:30:00,Iowa State,38.0,Tulsa,21.0,,
2013-09-26 19:30:00,Virginia Tech,17.0,Georgia Tech,10.0,,
2013-09-27 21:00:00,Middle Tennessee State,10.0,Brigham Young,37.0,,
2013-09-27 21:00:00,Utah State,40.0,San Jose State,12.0,,
2013-09-28 18:30:00,Mississippi,0.0,Alabama,25.0,,
2013-09-28 22:30:00,Southern California,41.0,Arizona State,62.0,,
2013-09-28 16:00:00,Louisiana Tech,16.0,Army,35.0,,"Cotton Bowl - Dallas, TX"
2013-09-28 15:00:00,Toledo,24.0,Ball State,31.0,,
2013-09-28 22:15:00,Southern Mississippi,7.0,Boise State,60.0,,
2013-09-28 14:30:00,Akron,14.0,Bowling Green State,31.0,,
2013-09-28 15:30:00,Connecticut,12.0,Buffalo,41.0,,
2013-09-28 15:30:00,Wake Forest,7.0,Clemson,56.0,,
2013-09-28 15:30:00,Texas-El Paso,42.0,Colorado State,59.0,,
2013-09-28 15:00:00,Troy,31.0,Duke,38.0,,
2013-09-28 12:30:00,East Carolina,55.0,North Carolina,31.0,,
2013-09-28 19:00:00,Florida,24.0,Kentucky,7.0,,
2013-09-28 15:30:00,Florida State,48.0,Boston College,34.0,,
2013-09-28 23:59:00,Fresno State,42.0,Hawaii,37.0,,
2013-09-28 15:30:00,Louisiana State,41.0,Georgia,44.0,,
2013-09-28 16:00:00,Houston,59.0,Texas-San Antonio,28.0,,
2013-09-28 17:00:00,Temple,24.0,Idaho,26.0,,
2013-09-28 12:00:00,Miami (OH),14.0,Illinois,50.0,,
2013-09-28 15:30:00,Iowa,23.0,Minnesota,7.0,,
2013-09-28 19:00:00,Kent State,32.0,Western Michigan,14.0,,
2013-09-28 12:00:00,Miami (FL),49.0,South Florida,21.0,,
2013-09-28 19:30:00,Arkansas State,19.0,Missouri,41.0,,
2013-09-28 20:05:00,Air Force,42.0,Nevada,45.0,,
2013-09-28 20:08:00,Nevada-Las Vegas,56.0,New Mexico,42.0,,
2013-09-28 15:30:00,Central Michigan,14.0,North Carolina State,48.0,,
2013-09-28 12:00:00,Northern Illinois,55.0,Purdue,24.0,,
2013-09-28 20:00:00,Wisconsin,24.0,Ohio State,31.0,,
2013-09-28 15:30:00,Oklahoma,35.0,Notre Dame,21.0,,
2013-09-28 22:30:00,California,16.0,Oregon,55.0,,
2013-09-28 15:00:00,Colorado,17.0,Oregon State,44.0,,
2013-09-28 12:30:00,Virginia,3.0,Pittsburgh,14.0,,
2013-09-28 19:00:00,Florida Atlantic,14.0,Rice,18.0,,
2013-09-28 20:00:00,San Diego State,26.0,New Mexico State,16.0,,
2013-09-28 12:00:00,South Carolina,28.0,Central Florida,25.0,,
2013-09-28 22:00:00,Washington State,17.0,Stanford,55.0,,"CenturyLink Field - Seattle, WA"
2013-09-28 12:21:00,South Alabama,24.0,Tennessee,31.0,,
2013-09-28 19:00:00,Texas A&M,45.0,Arkansas,33.0,,
2013-09-28 12:00:00,Southern Methodist,17.0,Texas Christian,48.0,,
